x1,x2,f_best
2.66266110080604,2.6778357929154373,5.47895726446621
2.633951061473366,2.5685023752287206,5.5652102313229435
2.682326944581044,2.1222870793097988,5.136949837014976
2.1327671901653917,2.645025781011066,5.684330207513058
2.6363547906725247,2.6210784624783403,6.2274586930504245
2.6510384218418395,1.61844348816421,5.12333620031115
2.6453440151885004,2.6035720184287365,6.0691196121555375
2.6326110879781415,2.6547875835559895,6.091538023977384
2.6675372096452876,2.6363122855925174,5.905146188871696
2.6576752432121955,2.660152169147296,5.841570867199357
2.1509697963230754,2.5996328400538826,5.506106708292743
2.632493100027147,2.1304362143562776,5.746298533219037
2.109951906625432,2.6024934751267716,5.571438045441781
2.62577799051337,2.1481465339779104,5.6835668522896725
2.146005171418905,2.6375245858811565,5.676602290243364
2.6069559574295615,2.0832881442808775,5.34381331723989
2.636365517772277,2.608347753802957,6.160969575130375
2.086114689719175,2.625712023280558,5.467580902840364
2.610580973775786,2.6075450531788027,6.112911920787627
2.615069578613553,2.630358228494529,6.219132279319178
2.6197172329608343,2.584754605253291,5.875133878355587
2.5642615652654928,2.583804621324675,5.098149532339271
2.6110865306160593,2.6815510108684886,5.603743368705869
2.605614764834391,2.567837568970305,5.462034762029424
2.0960084335009674,2.6461962924904943,5.511319447256938
2.6384323075053553,2.653133008014578,6.08998850802959
2.6248990801031424,2.578668837822565,5.77872230447079
1.609269494897612,2.6246580940501656,5.202564070284867
2.6913517048429614,2.6666396898623907,5.118597357350635
2.6746702952590993,2.629037183907497,5.796003361856979
2.15098670624364,2.644811225168691,5.600583863119363
2.5951266317806403,2.661712976125721,5.797843371037802
2.621996408914758,2.6362126755181934,6.230215795261948
2.6307929007198485,2.618568584709762,6.233846660413869
2.6122632482395374,2.607081472937427,6.120143005383236
2.658386293701775,2.118030299573472,5.537748445110811
2.6586774669886415,2.6642387625801134,5.7709848123826735
2.6040699363585422,2.655892815737653,5.972779537789631
2.6396139410061954,2.125686532590121,5.720835578486637
2.6080609027504758,2.6345344741763927,6.164844485207469
2.1664196439613663,2.6435523041236224,5.451563824628824
2.607881939596488,2.181498537888321,5.202168358993353
2.103469892795826,2.6265161770805863,5.652990654977368
2.6088370227403397,2.0699100593309603,5.1486105896445835
2.148611690366874,2.6138415256180174,5.6429098325099245
2.6516085367337103,2.605550102084479,6.032863701632745
2.5752192759682124,2.6096326486526125,5.648683416348352
2.6417822342071733,2.6300939614537295,6.207959808694731
2.093668930234364,2.665957801262034,5.2540500518426105
2.615447149434919,2.631192598384162,6.219854270070808
2.628530505204029,2.1250502422907482,5.750993867150387
2.656586581954993,2.581862371087626,5.6617594276619965
2.601517976217012,2.586351995784559,5.77635286746922
2.592915719051561,2.6252269787162477,6.010223804715409
2.660635852347068,2.149066692642386,5.449818583775803
2.102541551978706,2.620825281550431,5.636583033355366
2.61708539486941,2.604258401187476,6.120447912000508
2.164026233835779,2.5986524495504693,5.366478781280428
2.0932986269099287,2.6359956134471436,5.5402528913066735
2.621937073396403,2.6212178096826046,6.238252920272697
2.666275392840605,2.1324245131885515,5.438739325101958
2.587834321518334,2.6808526267281794,5.3578977025469925
2.6604106301729584,2.1411122077823226,5.49870895172335
2.6167833289012687,2.624280909282552,6.22702028364689
2.1663844792305835,2.605495386241565,5.4075969864732345
2.6649798866584797,2.60199324067412,5.829668314910817
2.616417357517931,2.626802274281508,6.227343375803446
2.632958209245654,2.1393489353469346,5.724467432487522
2.6520789794531283,2.6388219171083187,6.099125118302879
2.647356466265295,2.659517201207584,5.956796638358146
2.641109236903493,2.132689813997591,5.709917835000358
2.633921994407662,2.6160556119810927,6.216932945573916
2.6314530742586393,1.6371653777507076,5.240877562686424
2.6613726372676463,2.1073536354918603,5.443931525458609
2.644970620091401,2.6310160197563857,6.1856177711490155
1.6593095193652814,2.622572234892866,5.128813578195284
2.100272002137175,2.585885472642059,5.279434038325623
2.602861204806817,2.5966225862514123,5.936047394976644
2.6176675225488046,2.621732314998322,6.2260853270323135
2.6204296240110767,2.6268075382327774,6.242238934489154
2.1345402400574223,2.6119775943869232,5.696300921517939
2.557348586593763,2.648678714724034,5.219837192978342
2.6065412363212688,2.6860639693393025,5.47002997847361
2.150316825008032,2.66547398872608,5.37049384245199
2.6843277738792515,2.619406554603777,5.585181834645957
2.6096034743779066,2.6191897656712313,6.173123265131047
2.155109088980197,2.626470258766427,5.628702300199842
2.6468040618981017,2.093196641079139,5.476314547410685
2.6834309385300488,2.6120864405907884,5.569742894556511
2.613440043322949,2.7144124355125547,4.759757040588144
2.1038834398056743,2.1519038172493095,5.06033353932986
2.6622538850212125,2.6457735716708664,5.931946832721575
2.6647145660291858,2.611398936001417,5.913045972400435
2.625350632710866,2.1399137560706847,5.727768484811392
2.5965888664592507,2.600015337045851,5.905766263973408
2.6218301186798243,2.6410738039346713,6.207129528991496
2.647459933347773,2.1061008520047975,5.58969465236713
2.1581809587749707,2.6457538039176933,5.529558635843585
2.624992479290281,2.6285903079238966,6.250907907466188
2.684055749786653,2.6224714949085617,5.599403746795249
