x1,x2,f_best
-82.30890024225305,-84.26437957163971,13875.240723682535
-82.36052816287669,-85.55118455819367,14102.261778578119
-81.0249800107934,-83.6735165842642,13566.304763326607
-82.11498220247297,-81.88056262968787,13447.29683866669
-83.96945274583086,-82.14586481173797,13798.812100102652
-82.56802767886785,-83.49320130776103,13788.593859396595
-83.33301418585826,-83.71452348990451,13952.512696442227
-82.96808479874463,-82.3370664518652,13663.095607070545
-84.09133948158764,-82.28970574551286,13842.949047490712
-81.88702849604736,-83.87904757630525,13741.180058220554
-84.80773888671754,-82.83082360983329,14053.297914960978
-84.02592091372928,-81.5618034818056,13712.683172604964
-83.36939160706106,-83.97866876662621,14002.872264746224
-82.5912903023037,-81.72373736615748,13500.09048289209
-83.28216305544557,-83.55039899388323,13916.587855230908
-83.99419495345529,-82.98492260424047,13941.522165510834
-83.21393985860693,-81.81686773975164,13618.559633535864
-84.18678006420654,-84.18313527825708,14174.214202856416
-83.83491679384584,-83.69490792012414,14033.130885589113
-82.99521280397776,-83.44622475489005,13851.47777422118
-82.88731131335493,-79.85946955111041,13247.841253741746
-83.37991552507283,-81.2447724451701,13552.923362635753
-82.45454410835056,-84.21590682587261,13891.070806619984
-83.59255364796664,-83.93646228958141,14033.044727078504
-83.0239448761547,-83.11882134749212,13801.713884995086
-84.80068143609515,-85.68434862315677,14532.96317100076
-81.7011914467222,-82.21226348879587,13433.940951765151
-83.79207173282725,-81.9113963498483,13730.58813726121
-83.07965472124975,-83.98335918009123,13955.43364777429
-83.45342653857404,-84.90717660084465,14173.703039356194
-84.770832805154,-83.50842042926693,14159.75037707058
-85.19817551552575,-82.5606058572239,14074.982750686206
-84.08088444221563,-84.79016345602516,14258.966947484681
-83.38754220535986,-83.74919155209224,13967.409280679713
-81.96696479243342,-83.09771372192286,13623.813343094665
-83.92008050196121,-84.89258301225628,14249.330561948474
-83.60937946140182,-84.6556253011969,14157.10322905733
-83.21926832425021,-82.95068014806611,13806.261957450322
-83.64188888228165,-84.96369071857744,14214.794316318032
-83.77326905761397,-85.10679798080545,14261.127671145014
-81.78332974628981,-82.41624710724885,13480.950811633476
-83.4679879936934,-82.39244952159041,13755.42075788317
-83.92940102661166,-83.26963907791847,13977.97714885261
-84.59894382160631,-82.67637498657898,13992.364276652723
-83.16206575199976,-85.29647593730544,14191.41798746326
-85.12151647824068,-82.18041518150783,13999.293206960403
-83.84226733175495,-83.2678760548446,13963.064974014427
-83.96032627134065,-84.69883475530808,14223.22899649696
-84.99666782894104,-81.39455876487926,13849.507738552726
-83.42579615662147,-83.0395332945419,13855.42755414149
-84.65193291103346,-80.80783909598739,13695.856604937097
-83.6479625664982,-81.94443343757258,13711.871812931047
-83.47210787543906,-83.97473689790824,14019.349230241849
-83.71777247419877,-82.607927422858,13832.735101141887
-84.65177241828263,-83.58005236948708,14151.54772764292
-83.62886242674838,-80.69000708801904,13504.663874656571
-82.00754421139972,-82.85938863430937,13590.915592436197
-83.56257169825798,-83.66387220898628,13982.346901828092
-83.15459857813968,-84.76251047696596,14099.370447049314
-82.48648823716394,-82.59878142577378,13626.579434722536
-84.27363587393616,-82.17475548494146,13854.736142422695
-84.45277849663584,-82.37108458956087,13917.267372262428
-83.57373624009544,-82.75716893157447,13833.318398698197
-82.1169033819758,-81.93082091708014,13455.845237191406
-82.41708135684478,-83.1374758564064,13704.415191155327
-84.38453594215063,-83.44077896847053,14083.113501037264
-83.28437224376718,-82.54401766917148,13749.80151300687
-83.33729649376413,-84.4780152266372,14081.640043521496
-84.14547034967502,-83.57457226793147,14065.169310135738
-83.56069003169485,-83.6032339734775,13971.88964939701
-82.54810045646416,-83.42677819500959,13774.216208969825
-83.10820371632816,-84.07820008511179,13976.117254506793
-81.4470169104644,-83.20227304166063,13556.23480291252
-82.23574966630548,-82.13882400548296,13509.504932182965
-84.68823010549448,-82.83755739798269,14034.15723406526
-81.5908827360052,-83.79987721772147,13679.491567345745
-84.79364078400795,-83.21037080995497,14113.927327737581
-83.194155369962,-83.35171099666687,13868.775213793255
-81.88258217917434,-84.02944981253563,13765.705700126684
-84.3625700827121,-84.23920639190499,14213.287124498476
-83.90949880727455,-83.97007357353088,14091.777246032198
-82.822675800357,-84.32990820789269,13971.12904508265
-82.79198402097357,-82.58299638425578,13674.463909931146
-82.88416067942805,-85.76892829752815,14226.093152839772
-83.3299455040852,-85.08268650567071,14182.94336073605
-81.44907449789332,-85.07810137652554,13872.235070397732
-83.52249517871513,-83.05501771582068,13874.14316865378
-84.57489547082844,-82.14699164946849,13901.041180959402
-82.35798083303061,-83.57340689326595,13767.35134664123
-83.30628641681487,-82.69992297322464,13779.214616337682
-83.18477934351169,-83.46302018470948,13885.783252781952
-83.44154048362564,-82.14571234061172,13710.408734227067
-83.61810805053929,-81.51179346044236,13636.160467089478
-83.75129693240851,-83.51509439894252,13989.05073032474
-83.52940687422976,-82.90985756778588,13851.206294671163
-82.80362028499043,-83.72358942980425,13866.078959311308
-84.1176220763901,-83.6683513484568,14076.167361155203
-84.10138553086351,-81.93850287493616,13786.96130159686
-81.9475996304249,-83.71490103592748,13723.593740643548
-84.15133327918193,-83.68868266205868,14085.242498374713
