order,city_index,x,y,z,route_length
0,4,68.98714931260807,76.78530641218694,84.95925400445373,
1,12,72.20372839665251,60.57582807703028,93.11371878382604,
2,19,70.71725782392654,59.55193736204565,84.07556975990505,
3,21,0.3850012220200956,-2.8593365428657425,47.048152443447194,
4,22,-8.670354655871863,-7.06420124640737,50.70470141918228,
5,11,-12.976295700079312,-11.048191230561965,46.3650854917971,
6,24,-7.8126256375485905,-5.103635195242747,45.697133045654425,
7,33,-11.682890559496224,-0.8582601672121921,45.79227647130596,
8,3,-11.489157373123115,1.2824076579682984,44.847613164416686,
9,13,-12.275990586645689,-7.935104738219075,40.35632896686696,
10,8,-7.644115014851127,-5.448510568444229,39.215307999595005,
11,31,-1.622899184730384,-4.457143095775214,41.6580569256399,
12,38,7.942796862848716,22.28746121155304,5.392076523248638,
13,23,11.05384617044502,48.3341786384861,23.350776355186422,
14,2,9.830508409672062,76.46303067426189,18.263285781467363,
15,18,27.978121204091767,58.73151102881641,4.326161850168416,
16,9,11.29005047547745,65.42003341397354,-2.6809724420632985,
17,26,9.98456675343316,62.62033025175069,-2.578893975122252,
18,14,13.667362952315303,76.64316982160197,-10.973882090427535,
19,30,29.20787267888923,64.47253285110708,-22.472056522867497,
20,5,7.143753044774897,55.27726554473222,-23.52434548268215,
21,25,3.347399969775253,61.324148139679615,-11.782539483087852,
22,17,30.347353232174815,53.71081194282807,0.5728286651723646,
23,15,45.38834180249794,39.29524795766909,-4.0487361966236985,
24,37,63.05083240802195,60.626040502595934,75.34855638517689,
25,36,74.98823062067805,67.53846658535133,74.68584280226892,
26,20,77.2694322587392,73.59128365223444,88.25878114545894,
27,1,73.08626763016765,81.84271577644527,84.08350543102063,
28,7,56.96768110355248,64.49521419651718,79.74085248330425,
29,6,60.26538937932818,70.86866044903044,90.29568514101369,
30,39,55.51722294936779,71.80609586768747,89.79011565727971,
31,32,65.27190037269861,116.85715546728312,137.03577863904212,
32,29,62.69329223888431,106.61362486692315,138.29413354657353,
33,16,61.67602199320649,104.3746836513768,142.72174499553017,
34,35,58.15034553357856,98.81358421393907,142.77456158016494,
35,10,78.10358400061568,112.18248185596836,142.58359660007315,
36,34,95.1886322739272,102.7616036876816,143.3183756201696,
37,27,56.53503419262307,82.5801483727395,75.0667095220138,
38,0,63.03365105954639,79.94251611807414,70.48944425948885,
39,28,70.86503128164641,77.89125627494585,76.4118920186515,
,,,,,876.7689608967736
